Hexokinase,,,,
substrate,D-Glucose,,,
product,D-Gluctose 6-phosphate,,,
Kinetic Law,,,,
type,formula,,,
Random Bi Bi,(reIV/100)*E*A*B/(Kia*Kb+Ka*B+Kb*A+A*B),,,
Parameter,,,,
name,type,species,start val.,unit
M,concentration,Mg2+,NULL,
A,concentration,D-Glucose,NULL,
B,concentration,ATP,NULL,
Kia,Kd,D-Glucose,99,μM
Kb,Km,ATP,63,μM
Ka,Km,D-Glucose,100,μM
E,specific enz. activity,NULL,133,μM/min
reIV,Vmax,NULL,100,%
reIV_Km,Vmax/Km,ATP,100,%
,,,,
,,,,
G6P Isomerase,,,,
substrate,D-Gluctose 6-phosphate,,,
product,"D-Fructose 2,6-bisphosphate",,,
Kinetic Law,,,,
type,formula,,,
Michaelis-Menten,Vmax*A/(Km+A),,,
Parameter,,,,
name,type,species,start val.,unit
A,concentration,D-Gluctose 6-phosphate,1300,μM
Km,Km,D-Gluctose 6-phosphate,167,μM
Vmax,Vmax,NULL,690000,μM/min
,,,,
,,,,
PFK (irreversible),,,,
substrate,D-Fructose 6-phosphate,,,
product,"D-Fructose 1,6-bisphosphate",,,
Kinetic Law,,,,
type,formula,,,
Hill Cooperativity,(V*S^n)/(S_h^n+S^n),,,
Parameter,,,,
name,type,species,start val.,unit
M1,concentration,Phosphate,25000,μM
M2,concentration,"D-Fructose 2,6-bisphosphate",20,μM
S,concentration,ATP,3000,μM
B,concentration,D-Fructose 6-phosphate,3000,μM
n,Hill coefficient,D-Fructose 6-phosphate,NULL,
S_h,S_half,D-Fructose 6-phosphate,140,μM
V,Vmax,NULL,6980,μM/min
,,,,
,,,,
Aldolase,,,,
substrate,"D-Fructose 1,6-bisphosphate",,,
product,DHAP,,,
Kinetic Law,,,,
type,formula,,,
Michaelis-Menten,Vmax*S/(Km+S),,,
Parameter,,,,
name,type,species,start val.,unit
S,concentration,"D-Fructose 1,6-bisphosphate",20000,μM
Km,Km,"D-Fructose 1,6-bisphosphate",8500,μM
Vmax,Vmax,NULL,3900,μmol/(min*g)
,,,,
,,,,
Triose phosphate isomerase,,,,
substrate,DHAP,,,
product,D-Glyceraldehyde 3-phosphate,,,
Kinetic Law,,,,
type,formula,,,
Michaelis-Menten,Vmax*S/(Km+S),,,
Parameter,,,,
name,type,species,start val.,unit
S,concentration,DHAP,20000,μM
kcat,kcat,NULL,6.5*10^4,min^(-1)
Km,Km,DHAP,1200,μM
Vmax,Vmax,NULL,9900,μmol/(min*mg)
,,,,
,,,,
G3P dehydrogenase,,,,
substrate,D-Glyceraldehyde 3-phosphate,,,
product,"1,3-Biphospho-glycerate",,,
Kinetic Law,,,,
type,formula,,,
,1/(1/Vmax+(KmB/Vmax)*1/B+(KmA/Vmax)*1/A),,,
Parameter,,,,
name,type,species,start val.,unit
A,concentration,D-Glyceraldehyde 3-phosphate,780,μM
C,concentration,Phosphate,10000,μM
B,concentration,NAD+,1000,μM
KmB,Km,NAD+,90,μM
